,id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,bus_cl_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address,geometry,index_right,TFID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,BLOCKCE10,SUFFIX1CE,ZCTA5CE10,UACE10,PUMACE10,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,COUSUBFP,SUBMCDFP,ESTATEFP,CONCTYFP,PLACEFP,AIANNHFP,AIANNHCE,COMPTYP,TRSUBFP,TRSUBCE,ANRCFP,TTRACTCE,TBLKGPCE,ELSDLEA,SCSDLEA,UNSDLEA,CD116FP,SLDUST,SLDLST,CSAFP,CBSAFP,METDIVFP,CNECTAFP,NECTAFP,NCTADVFP,LWFLAG,OFFSET,ATOTAL,INTPTLAT,INTPTLON
463,57827,Greyhound Frankstown Sunoco A Plus,6481,Frankstown Avenue,Pittsburgh,PA,15206.0,Pittsburgh-112,114,Chain Retail/Convenience Store,1.0,1998-11-17,1998-11-17,,,,1000.0,1,1.0,-79.9139531993177,40.4606740577179,6481 Frankstown Avenue PA 15206,POINT (-79.9139531993177 40.4606740577179),33480,224227847,42,003,120800,2,2019,,15206,69697,01701,42,003,120800,2,61000,,,,61000,,,,,,,,,,,19170,18,038,024,430,38300,,,,,L,N,6668,+40.4608154,-79.9141817
8417,44534,Myer's Exxon Shop,6680,Frankstown Ave,Pittsburgh,PA,15206.0,Pittsburgh-112,114,Chain Retail/Convenience Store,8.0,1989-04-12,1989-04-12,,,,1100.0,0,,-79.9085785760849,40.4585578641051,6680 Frankstown Ave PA 15206,POINT (-79.9085785760849 40.4585578641051),4740,229944478,42,003,120800,2,2028,,15206,69697,01701,42,003,120800,2,61000,,,,61000,,,,,,,,,,,19170,18,038,024,430,38300,,,,,L,N,10450,+40.4587958,-79.9094768
9379,46734,L A Grocery,511,Larimer Avenue,Pittsburgh,PA,15206.0,Pittsburgh-112,113,Retail/Convenience Store,0.0,1990-12-12,1990-12-12,,,,750.0,1,1.0,-79.9141642186403,40.46556424854,511 Larimer Avenue PA 15206,POINT (-79.9141642186403 40.46556424854),11363,263708537,42,003,120400,2,2007,,15206,69697,01701,42,003,120400,2,61000,,,,61000,,,,,,,,,,,19170,18,038,024,430,38300,,,,,L,N,18906,+40.4662415,-79.9133615
9851,7695,Broadway Cafe Inc,414,Larimer Ave,Pittsburgh,PA,15206.0,Pittsburgh-112,201,Restaurant with Liquor,7.0,1966-08-24,1966-08-24,,30.0,,,0,,-79.9149940915965,40.4649803064107,414 Larimer Ave PA 15206,POINT (-79.9149940915965 40.4649803064107),16194,210181548,42,003,120800,1,1008,,15206,69697,01701,42,003,120800,1,61000,,,,61000,,,,,,,,,,,19170,18,038,024,430,38300,,,,,L,N,3365,+40.4648985,-79.9147505
13604,200403180001,L E Corner Store,601,Lincoln Ave,Pittsburgh,PA,15206.0,Pittsburgh-112,113,Retail/Convenience Store,2.0,2004-03-16,2004-03-16,,,,500.0,1,1.0,-79.9078957594346,40.4617991352609,601 Lincoln Ave PA 15206,POINT (-79.9078957594346 40.4617991352609),15864,210181674,42,003,120400,1,1016,,15206,69697,01701,42,003,120400,1,61000,,,,61000,,,,,,,,,,,19170,18,038,024,430,38300,,,,,L,N,7634,+40.4623761,-79.9079786
16108,201106030004,Jimmy John's,6425,Penn Avenue,Pittsburgh,PA,15206.0,Pittsburgh-112,212,Chain Restaurant without Liquor,1.0,2011-05-29,2011-05-29,,52.0,,,1,1.0,-79.9170011965218,40.4573656113005,6425 Penn Avenue PA 15206,POINT (-79.9170011965218 40.4573656113005),10807,263696024,42,003,120800,2,2033,,15206,69697,01701,42,003,120800,2,61000,,,,61000,,,,,,,,,,,19170,18,038,024,430,38300,,,,,L,N,16357,+40.4572367,-79.9162991
23317,201905170008,Elements Cafe @ Google Bakery Square ,6425,Penn Avenue,Pittsburgh,PA,15206.0,Pittsburgh-112,212,Chain Restaurant without Liquor,1.0,2019-05-08,2019-05-08,,240.0,,,1,1.0,-79.9170011965218,40.4573656113005,6425 Penn Avenue PA 15206,POINT (-79.9170011965218 40.4573656113005),10807,263696024,42,003,120800,2,2033,,15206,69697,01701,42,003,120800,2,61000,,,,61000,,,,,,,,,,,19170,18,038,024,430,38300,,,,,L,N,16357,+40.4572367,-79.9162991
26157,202105030005,Galley @ Bakery Square,145,Bakery Square Boulevard,Pittsburgh,PA,15206.0,Pittsburgh-112,202,Chain Restaurant with Liquor,1.0,2021-05-03,2021-05-03,,148.0,,,1,1.0,-79.9157335528635,40.4565148414768,145 Bakery Square Boulevard PA 15206,POINT (-79.9157335528635 40.4565148414768),10807,263696024,42,003,120800,2,2033,,15206,69697,01701,42,003,120800,2,61000,,,,61000,,,,,,,,,,,19170,18,038,024,430,38300,,,,,L,N,16357,+40.4572367,-79.9162991
26954,202112170001,Alta Via Pizzeria,6425,Penn Avenue,Pittsburgh,PA,15206.0,Pittsburgh-112,201,Restaurant with Liquor,1.0,2021-12-17,2021-12-17,,165.0,,,1,1.0,-79.9170011965218,40.4573656113005,6425 Penn Avenue PA 15206,POINT (-79.9170011965218 40.4573656113005),10807,263696024,42,003,120800,2,2033,,15206,69697,01701,42,003,120800,2,61000,,,,61000,,,,,,,,,,,19170,18,038,024,430,38300,,,,,L,N,16357,+40.4572367,-79.9162991
27801,202208040002,Jeni's Splendid Ice Cream,173,Bakery Square Boulevard,Pittsburgh,PA,15206.0,Pittsburgh-112,212,Chain Restaurant without Liquor,1.0,2022-08-04,2022-08-04,,33.0,,,1,1.0,-79.9159374389646,40.4568909756327,173 Bakery Square Boulevard PA 15206,POINT (-79.9159374389646 40.4568909756327),10807,263696024,42,003,120800,2,2033,,15206,69697,01701,42,003,120800,2,61000,,,,61000,,,,,,,,,,,19170,18,038,024,430,38300,,,,,L,N,16357,+40.4572367,-79.9162991
